"bu_code","bu_naam","jaar","lbm","afw","fys","onv","soc","vrz","won"
"BU00140000","Binnenstad-Noord",2002,4.13489464335562,0.0326297922119334,NA,NA,NA,NA,NA
"BU00140000","Binnenstad-Noord",2008,4.18698043075937,0.0847155796156899,NA,NA,NA,NA,NA
"BU00140000","Binnenstad-Noord",2012,4.21725648098583,0.114991629842146,NA,NA,NA,NA,NA
"BU00140000","Binnenstad-Noord",2014,4.21922896056964,0.116964109425955,0.0395785238265118,-0.143496175681692,-0.0334156322348849,0.236234631673152,0.0180627618428682
"BU00140000","Binnenstad-Noord",2016,4.28422016007267,0.181955308928982,NA,NA,NA,NA,NA
"BU00140000","Binnenstad-Noord",2018,4.29601281014917,0.193747959005484,0.0407768371920691,-0.101281996566179,-0.0308853591339251,0.274707450771215,0.0104310267423032
"BU00140000","Binnenstad-Noord",2020,4.34128419382005,0.239019342676361,0.0435728346076583,-0.0822578145019112,-0.0318363577970381,0.300065441818944,0.00947523854870784
"BU00140000","Binnenstad-Noord",2022,4.34984783866241,0.247582987518728,0.0405033494063016,-0.0845138348107653,-0.0380760461570952,0.312437666197329,0.0172318528829576
"BU00140000","Binnenstad-Noord",2024,4.29131742473604,0.189052573592353,0.0343142782377354,-0.113587101456597,-0.0306653697239211,0.310164805243105,-0.0111740387079695
"BU00140001","Binnenstad-Zuid",2002,4.10723314714871,0.00496829600502883,NA,NA,NA,NA,NA
"BU00140001","Binnenstad-Zuid",2008,4.19513034829184,0.0928654971481545,NA,NA,NA,NA,NA
"BU00140001","Binnenstad-Zuid",2012,4.23871557655294,0.136450725409254,NA,NA,NA,NA,NA
"BU00140001","Binnenstad-Zuid",2014,4.21131184977093,0.109046998627241,0.0338514239825779,-0.143506422478429,-0.0418936895342088,0.23946567715276,0.0211300095045408
"BU00140001","Binnenstad-Zuid",2016,4.27572899288175,0.173464141738068,NA,NA,NA,NA,NA
"BU00140001","Binnenstad-Zuid",2018,4.24572729376749,0.143462442623805,0.0351043339601863,-0.14379366565524,-0.0408991242621663,0.280287141499849,0.0127637570811746
"BU00140001","Binnenstad-Zuid",2020,4.27094465065663,0.168679799512949,0.0363128408832629,-0.123684670792851,-0.0445341192994545,0.296225918305026,0.00435983041696474
"BU00140001","Binnenstad-Zuid",2022,4.27294684890753,0.170681997763847,0.0392182485664308,-0.128867388310653,-0.0460247254456201,0.304972227942275,0.00138363501141432
"BU00140001","Binnenstad-Zuid",2024,4.20031363093371,0.0980487797900263,0.0296835864988912,-0.155522614409084,-0.0416729604284003,0.299235368160505,-0.0336746000318851
"BU00140002","Binnenstad-Oost",2002,4.10435740252171,0.00209255137802488,NA,NA,NA,NA,NA
"BU00140002","Binnenstad-Oost",2008,4.15714816554866,0.0548833144049703,NA,NA,NA,NA,NA
"BU00140002","Binnenstad-Oost",2012,4.19748642340166,0.0952215722579741,NA,NA,NA,NA,NA
"BU00140002","Binnenstad-Oost",2014,4.20226265979448,0.0999978086507915,0.00904106518977462,-0.0875974432315264,-0.0399810210912186,0.215744017256765,0.00279119052699684
"BU00140002","Binnenstad-Oost",2016,4.2447867595276,0.142521908383916,NA,NA,NA,NA,NA
"BU00140002","Binnenstad-Oost",2018,4.23488804933663,0.13262319819295,0.0107996538792332,-0.0797127613000813,-0.0462824895837587,0.247695708324413,0.000123086873143095
"BU00140002","Binnenstad-Oost",2020,4.24851468206051,0.146249830916821,0.00940187322381819,-0.0682609332038405,-0.0375985124518188,0.261425600187632,-0.0187181968389702
"BU00140002","Binnenstad-Oost",2022,4.25291278233476,0.150647931191079,0.0155524889800704,-0.0878892120793899,-0.0484787391622125,0.277004266295941,-0.00554087284333034
"BU00140002","Binnenstad-Oost",2024,4.20803668619798,0.105771835054293,0.011777400449233,-0.102962703631339,-0.044331213563096,0.272695886867493,-0.0314075350679975
"BU00140003","Binnenstad-West",2002,4.15446047473109,0.0521956235874078,NA,NA,NA,NA,NA
"BU00140003","Binnenstad-West",2008,4.24257994579239,0.140315094648708,NA,NA,NA,NA,NA
"BU00140003","Binnenstad-West",2012,4.26174836234238,0.159483511198694,NA,NA,NA,NA,NA
"BU00140003","Binnenstad-West",2014,4.25870305131566,0.156438200171971,0.030321755853384,-0.0649421445162655,-0.0440158771268471,0.20451515145248,0.0305593145092194
"BU00140003","Binnenstad-West",2016,4.29175495758695,0.189490106443263,NA,NA,NA,NA,NA
"BU00140003","Binnenstad-West",2018,4.24378438172136,0.141519530577676,0.0270454738308426,-0.0654547037879786,-0.0445042143805382,0.220629577398417,0.00380339751693248
"BU00140003","Binnenstad-West",2020,4.27306813628559,0.170803285141904,0.0255392169138894,-0.0501333799710849,-0.0455020124343302,0.235786230107511,0.00511323052591881
"BU00140003","Binnenstad-West",2022,4.23620025552266,0.133935404378974,0.0343432153139271,-0.0807123986798464,-0.0492962226659521,0.238533173885391,-0.00893236347454614
"BU00140003","Binnenstad-West",2024,4.14515277286267,0.0428879217189802,0.0230265385232024,-0.11459769994693,-0.0494530585266667,0.234976533951261,-0.0510643922818864
"BU00140005","Hortusbuurt-Ebbingekwartier",2002,4.17698069074025,0.0747158395965618,NA,NA,NA,NA,NA
"BU00140005","Hortusbuurt-Ebbingekwartier",2008,4.21444579879863,0.112180947654948,NA,NA,NA,NA,NA
"BU00140005","Hortusbuurt-Ebbingekwartier",2012,4.22104256281973,0.118777711676042,NA,NA,NA,NA,NA
"BU00140005","Hortusbuurt-Ebbingekwartier",2014,4.22716737803883,0.124902526895145,0.015137249486487,-0.0701375492732821,-0.0274124180257368,0.19131464399119,0.016000600716487
"BU00140005","Hortusbuurt-Ebbingekwartier",2016,4.26885026806649,0.166585416922806,NA,NA,NA,NA,NA
"BU00140005","Hortusbuurt-Ebbingekwartier",2018,4.28202645231888,0.179761601175191,0.0178986822363438,-0.0359966024189398,-0.0299161902690024,0.218771248374559,0.00900446325222971
"BU00140005","Hortusbuurt-Ebbingekwartier",2020,4.30777289916034,0.205508048016652,0.0124170705717242,-0.024039878137818,-0.0274653448280607,0.234187048813363,0.0104091515974429
