bu_code,bu_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
BU05990110,Stadsdriehoek,2024,4.20717183273632,0.104906981592632,-0.0171227918024022,-0.152642428265867,-0.103076666651049,0.419262192205973,-0.0415133238940229
BU05990111,Oude Westen,2024,4.06300979141473,-0.039255059728954,-0.0403463340463888,-0.306586426384555,-0.111034905077422,0.41263765845175,0.0060749473276608
BU05990112,Cool,2024,4.15294726895155,0.0506824178078607,-0.0173126735768262,-0.253112888815436,-0.095690649108247,0.470632341556893,-0.0538337122485231
BU05990113,Cs Kwartier,2024,4.16315016262043,0.0608853114767467,-0.0189141485702203,-0.241400645967616,-0.0731934901125936,0.436305181605649,-0.0419115854784718
BU05990118,Nieuwe Werk,2024,4.28196584250946,0.179700991365777,-0.0088946839772429,-0.0490124648843815,-0.0557382730124519,0.296526320472109,-0.0031799072322559
BU05990119,Dijkzigt,2024,4.16974114537969,0.0674762942360017,-0.0386032855078256,-0.186796120538455,-0.0356696842017874,0.319704943116572,0.0088404413674973
BU05990320,Delfshaven,2024,4.03932946160717,-0.0629353895365128,-0.031738591182772,-0.198136682607144,-0.101579318402792,0.284964716628006,-0.0164455139718102
BU05990321,Bospolder,2024,3.95837660857715,-0.143888242566539,-0.0303840575595095,-0.238386616525936,-0.117235606605117,0.245670530810247,-0.0035524926862243
BU05990322,Tussendijken,2024,3.90176979839787,-0.200495052745818,-0.0387130368026299,-0.272100050788821,-0.123124994818479,0.281412272106965,-0.047969242442854
BU05990323,Spangen,2024,3.9477116089456,-0.154553242198084,-0.0408839537682492,-0.19239427697402,-0.104929510917519,0.221611506577742,-0.0379570071160382
BU05990324,Nieuwe Westen,2024,4.07905809132904,-0.0232067598146492,-0.0359589106426397,-0.223411623882767,-0.117340722514942,0.315463785517496,0.0380407117082036
BU05990325,Middelland,2024,4.12759391176727,0.025329060623584,-0.0408781362855065,-0.238607614800875,-0.0915180400695453,0.354431560166565,0.0419012916129455
BU05990327,Oud Mathenesse,2024,3.74676328933209,-0.355501561811592,-0.0307735197365004,-0.217043537776078,-0.115963892877364,0.155155246559609,-0.146875857981259
BU05990328,Witte Dorp,2024,3.85359012670799,-0.24867472443569,-0.0181006165254784,-0.227993489027529,-0.0907869252494462,0.139132792976036,-0.0509264866092734
BU05990329,Schiemond,2024,4.07360308162412,-0.0286617695195632,0.0111940858281145,-0.126869973043409,-0.0777233493985671,0.192074414799124,-0.0273369477048255
BU05990451,Kleinpolder,2024,4.05434434151084,-0.0479205096328445,-0.029795889848327,-0.0740248556963683,-0.0535615600590476,0.164663031380142,-0.0552012354092441
BU05990452,Noord Kethel,2024,4.36041575962183,0.25815090847814,0.0259869756520449,0.0879648972395707,0.138938641071345,-0.0707263543181747,0.0759867488333547
BU05990454,Schieveen,2024,4.31050208184995,0.208237230706268,0.0193914312365771,0.0964438568605717,0.091291594716324,-0.0693622499161891,0.0704725978089844
BU05990455,Zestienhoven,2024,4.36249519007998,0.260230338936296,0.0057701648843066,0.0469310183536226,0.113647589226091,0.0654191117429206,0.0284624547293551
BU05990456,Overschie,2024,4.09099236453134,-0.0112724866123431,-0.0328298797332917,-0.0535911437756926,-0.0108839896426754,0.106921582026572,-0.0208890554872554
BU05990457,Landzicht,2024,4.02249191151347,-0.0797729396302131,-0.0067024383628813,-0.057583145896903,-0.0156816728058133,0.0825466357181602,-0.082352318282776
BU05990515,Agniesebuurt,2024,4.11462440654844,0.0123595554047595,-0.029171530932906,-0.178780401493788,-0.103906957049194,0.354475407638831,-0.0302569627581833
BU05990516,Provenierswijk,2024,4.19544559726866,0.0931807461249778,-0.0319925506910409,-0.131574756622433,-0.0854823322329072,0.341655174505904,0.0005752111654547
BU05990531,Bergpolder,2024,4.16730050717547,0.0650356560317819,-0.0519032030198956,-0.0641045686340301,-0.0902961523250687,0.29673859909704,-0.0253990190862637
BU05990532,Blijdorp,2024,4.26203815027856,0.159773299134872,-0.0347490423384708,-0.0373568341855692,-0.0574284568938743,0.290169164895277,-0.0008615323424912
BU05990534,Liskwartier,2024,4.15388163940308,0.0516167882593913,-0.0465493074366398,-0.115444588909888,-0.100065414051691,0.273140689452087,0.0405354092055226
BU05990535,Oude Noorden,2024,4.03347103722618,-0.06879381391751,-0.0352376869619833,-0.194863164243234,-0.116331478618332,0.286605673578884,-0.0089671576728453
BU05990558,Blijdorpsepolder,2024,4.42173322512367,0.319468373979981,-0.0136576015934674,0.0684898191632407,0.0073161873417431,0.201225231321445,0.0560947377470188
BU05990660,Schiebroek,2024,4.09438429243126,-0.0078805587124236,-0.0103180669849613,-0.0533321948815946,-0.0285027859287323,0.117396327421832,-0.0331238383389674
BU05990661,Hillegersberg Zuid,2024,4.24454247657682,0.142277625433131,-0.0246658867541927,0.0051720721368567,-0.0250034543029469,0.185901774864239,0.0008731194891745
BU05990662,Hillegersberg Noord,2024,4.18215260544073,0.0798877542970473,0.0047746740630461,-0.0021075098181815,-0.0263405378870062,0.101090062812972,0.0024710651262166
BU05990664,Terbregge,2024,4.23062547395979,0.1283606228161,-0.0173413949604026,0.0342597502639136,0.0338797274997333,0.0562447678947182,0.0213177721181374
BU05990665,Molenlaankwartier,2024,4.29658633442153,0.194321483277848,0.0052631196624621,0.0460281607783153,0.0305643127443536,0.0844851183356999,0.0279807717570172
BU05990814,Rubroek,2024,4.06285508390462,-0.0394097672390629,-0.0198265968544116,-0.196551514014322,-0.109348527352204,0.335583222201396,-0.049266351219521
BU05990836,Nieuw Crooswijk,2024,4.07738101195111,-0.0248838391925754,-0.0463184532457693,-0.105922419907193,-0.0781904679432219,0.221572789448886,-0.0160252875452777
BU05990837,Oud Crooswijk,2024,3.94138973352189,-0.160875117621797,-0.0392198688768605,-0.208368611565951,-0.123084011765621,0.256574702501226,-0.0467773279145903
BU05990841,Kralingen West,2024,4.16459457973212,0.0623297285884338,-0.0220953988035008,-0.093696610180699,-0.0920786627589362,0.282918114068548,-0.0127177137369785
BU05990842,Kralingen Oost,2024,4.31260573183134,0.210340880687652,0.002859860511783,-0.0137166151399276,-0.0055776071279726,0.21379477595347,0.0129804664902984
BU05990843,Kralingse Bos,2024,4.3250088488782,0.22274399773451,-0.0047988238761095,-0.0411330362082259,0.0666734827813333,0.108070310030174,0.0939320650073384
BU05990845,De Esch,2024,4.03773847848504,-0.0645263726586483,0.0164486726895734,-0.0782614064610551,-0.073611947171572,0.112026756741881,-0.0411284484574757
BU05990847,Struisenburg,2024,4.13619435728537,0.0339295061416846,-0.0174803100363546,-0.0655255326006953,-0.0483001703494529,0.249989879373217,-0.0847543602450303
BU05991017,Kop van Zuid,2024,4.23157241991326,0.12930756876957,-0.0247066925475137,-0.0514362005290411,-0.0854862519121467,0.313748184897138,-0.0228114711388661
BU05991079,Kop van Zuid - Entrepot,2024,4.0616386325348,-0.0406262186088864,-0.0267661234953484,-0.155761859952479,-0.0891639448084333,0.24793409633162,-0.0168683866842456
BU05991080,Vreewijk,2024,3.95065304276166,-0.151611808382026,-0.0289116243754007,-0.222475146289745,-0.0774343512423034,0.204357306276648,-0.0271479927512243
BU05991081,Bloemhof,2024,3.89228715770337,-0.209977693440315,-0.0278043436075306,-0.224053150211831,-0.111804051819983,0.231904333654016,-0.0782204814549864
BU05991082,Hillesluis,2024,3.84359281615559,-0.258672034988098,-0.0334802974953275,-0.237431139439329,-0.116181430503867,0.210898720425135,-0.08247788797471
BU05991085,Katendrecht,2024,4.1354108625997,0.0331460114560173,-0.013453846683292,-0.0892878830892326,-0.0749175550387366,0.215932891170799,-0.0051275949035203
BU05991086,Afrikaanderwijk,2024,3.99494730870445,-0.107317542439238,-0.0411611542219321,-0.179784247316363,-0.100994262194933,0.249985430228334,-0.0353633089343439
BU05991087,Feijenoord,2024,3.91246048571868,-0.189804365425003,-0.0196660117266307,-0.221862947392982,-0.0978167130614311,0.190829931228285,-0.0412886244722442
