"wk_code","wk_naam","jaar","lbm","afw","fys","onv","soc","vrz","won"
"WK001400","Centrum",2002,4.131519995885,0.029255144741313,NA,NA,NA,NA,NA
"WK001400","Centrum",2008,4.19355792482673,0.0912930736830444,NA,NA,NA,NA,NA
"WK001400","Centrum",2012,4.22361997707418,0.12135512593049,NA,NA,NA,NA,NA
"WK001400","Centrum",2014,4.21829228838692,0.116027437243235,0.0253194269200365,-0.109127961296736,-0.0366732896526605,0.220026409668684,0.0164828516039109
"WK001400","Centrum",2016,4.2714797146967,0.169214863553019,NA,NA,NA,NA,NA
"WK001400","Centrum",2018,4.26202914411038,0.159764292966696,0.02666439732687,-0.0902686009915833,-0.037769406334748,0.252913017704314,0.00822488526184305
"WK001400","Centrum",2020,4.28881574011849,0.186550888974802,0.0254164652121846,-0.0738739825522859,-0.0366994835261813,0.269619668637504,0.00208822120358036
"WK001400","Centrum",2022,4.28741697203907,0.185152120895385,0.0288720861151906,-0.0872510410278506,-0.0420430499275523,0.280826576947157,0.0047475487884392
"WK001400","Centrum",2024,4.22935137116964,0.127086520025955,0.0224991196483894,-0.111777779759689,-0.0378431419577981,0.277373159159142,-0.0231648370640897
"WK001401","Oud-Zuid",2002,4.0776461856019,-0.0246186655417875,NA,NA,NA,NA,NA
"WK001401","Oud-Zuid",2008,4.13293294919539,0.030668098051707,NA,NA,NA,NA,NA
"WK001401","Oud-Zuid",2012,4.15931431031271,0.0570494591690212,NA,NA,NA,NA,NA
"WK001401","Oud-Zuid",2014,4.17104091215925,0.0687760610155664,0.00637552751104634,-0.0177890526327128,-0.0366483794718592,0.150144887966057,-0.0333069223569654
"WK001401","Oud-Zuid",2016,4.17532702380191,0.0730621726582211,NA,NA,NA,NA,NA
"WK001401","Oud-Zuid",2018,4.19598174145177,0.0937168903080874,0.00745463221196934,-0.00879197588326508,-0.0398820706398042,0.164097180759478,-0.0291608761402905
"WK001401","Oud-Zuid",2020,4.23162552284238,0.129360671698695,0.00672870272981587,0.000181935423642532,-0.0453313760366485,0.177166298002735,-0.00938488842085004
"WK001401","Oud-Zuid",2022,4.22618775060042,0.123922899456737,0.0089822099933121,0.00032196780575601,-0.040825269247926,0.171747838455103,-0.0163038475495085
"WK001401","Oud-Zuid",2024,4.1531191872786,0.0508543361349168,0.00263638987584061,-0.0238569153760313,-0.0385035297135394,0.159851421189063,-0.049273029840416
"WK001402","Oud-West",2002,4.10154149660157,-0.00072335454211371,NA,NA,NA,NA,NA
"WK001402","Oud-West",2008,4.15868593607733,0.0564210849336495,NA,NA,NA,NA,NA
"WK001402","Oud-West",2012,4.18945198491792,0.0871871337742393,NA,NA,NA,NA,NA
"WK001402","Oud-West",2014,4.19575599162658,0.0934911404828965,0.0181196014393437,-0.0241016819402192,-0.044841577172644,0.13129678974146,0.0130180084149556
"WK001402","Oud-West",2016,4.21778600376043,0.115521152616742,NA,NA,NA,NA,NA
"WK001402","Oud-West",2018,4.20719206194812,0.104927210804437,0.0219526814569205,-0.022290703576158,-0.0471912636933655,0.142819366132382,0.0096371304846579
"WK001402","Oud-West",2020,4.22604370667249,0.123778855528803,0.0172266472395029,-0.0201463657280656,-0.0478523401570289,0.155598828692305,0.0189520854820885
"WK001402","Oud-West",2022,4.22343747837774,0.121172627234051,0.0215809428625686,-0.0143842198748849,-0.0493625188326469,0.15133782228226,0.0120006007967537
"WK001402","Oud-West",2024,4.16153377148833,0.0592689203446412,0.0159079411585515,-0.0494046499958399,-0.0487983095151095,0.145818723762302,-0.00425478506526285
"WK001403","Oud-Noord",2002,3.88981212740312,-0.212452723740567,NA,NA,NA,NA,NA
"WK001403","Oud-Noord",2008,3.96061489475716,-0.141649956386521,NA,NA,NA,NA,NA
"WK001403","Oud-Noord",2012,3.98210978172007,-0.120155069423618,NA,NA,NA,NA,NA
"WK001403","Oud-Noord",2014,3.9776575156704,-0.124607335473281,0.0197436987086535,-0.12885767084066,-0.0657754979212691,0.103875399090319,-0.053593264510324
"WK001403","Oud-Noord",2016,4.01326572424686,-0.0889991268968294,NA,NA,NA,NA,NA
"WK001403","Oud-Noord",2018,4.02173858504914,-0.0805262660945413,0.0149393038366983,-0.0993730864653987,-0.0687662548719996,0.111517027277385,-0.0388432558712264
"WK001403","Oud-Noord",2020,4.05931917080329,-0.0429456803403969,0.00711592925160436,-0.0832919658588645,-0.0706362967687944,0.11806709687975,-0.014200443844093
"WK001403","Oud-Noord",2022,4.06552933401864,-0.0367355171250487,0.0140016236085224,-0.0795539067399262,-0.0645445655379999,0.121672404726804,-0.0283110731824489
"WK001403","Oud-Noord",2024,3.99955665916473,-0.102708191978951,0.00898039433416634,-0.114784204225239,-0.0658483850048045,0.118039625954777,-0.0490956230378513
"WK001404","Oosterparkwijk",2002,3.98724829578356,-0.115016555360129,NA,NA,NA,NA,NA
"WK001404","Oosterparkwijk",2008,4.06002915449576,-0.0422356966479221,NA,NA,NA,NA,NA
"WK001404","Oosterparkwijk",2012,4.08148059601383,-0.0207842551298547,NA,NA,NA,NA,NA
"WK001404","Oosterparkwijk",2014,4.09055539867024,-0.0117094524734468,0.0236331930584718,-0.0834644445502535,-0.0518882928228107,0.125908493388093,-0.0258984015469476
"WK001404","Oosterparkwijk",2016,4.11473141570181,0.0124665645581227,NA,NA,NA,NA,NA
"WK001404","Oosterparkwijk",2018,4.09373374605562,-0.00853110508806105,0.0250206837466545,-0.0823505304847643,-0.047653922781532,0.123173045358542,-0.0267203809269617
"WK001404","Oosterparkwijk",2020,4.13371291248637,0.0314480613426823,0.0162970987211394,-0.0623831105093467,-0.042931702729036,0.128034414704433,-0.00756863884450768
"WK001404","Oosterparkwijk",2022,4.13021371430052,0.0279488631568398,0.0247993260100559,-0.0609745079074075,-0.0415137803150971,0.134475282754035,-0.028837457384747
"WK001404","Oosterparkwijk",2024,4.09308941078632,-0.00917544035736929,0.0222004696062437,-0.0865980045279304,-0.0421929770521873,0.131175708262522,-0.0337606366460173
"WK001405","Zuidoost",2002,4.04996459989387,-0.0523002512498167,NA,NA,NA,NA,NA
"WK001405","Zuidoost",2008,4.07827864182976,-0.0239862093139292,NA,NA,NA,NA,NA
"WK001405","Zuidoost",2012,4.26704783946502,0.164782988321332,NA,NA,NA,NA,NA
"WK001405","Zuidoost",2014,4.26435537618124,0.162090525037557,-0.00187419741237514,0.054145468137966,0.00752183078526285,0.0795593612347165,0.0227380622919865
"WK001405","Zuidoost",2016,4.27532527891699,0.173060427773309,NA,NA,NA,NA,NA
"WK001405","Zuidoost",2018,4.31617705285902,0.213912201715336,0.0303408405669401,0.0675060467817647,0.0107424651764858,0.0948954843945328,0.0104273647956122
"WK001405","Zuidoost",2020,4.29130641272684,0.189041561583157,0.0146915666727836,0.0669858755347453,0.00188288845177035,0.110890752233793,-0.00540952130993607
"WK001405","Zuidoost",2022,4.27905555142529,0.176790700281607,0.0122995609644923,0.0550349085179199,-0.014763018130189,0.118389882767744,0.0058293661616395
"WK001405","Zuidoost",2024,4.26580186021379,0.163537009070101,0.0169450050185001,0.0478757549625479,-0.0051504544888422,0.106184531185414,-0.00231782760751851
"WK001406","Helpman e.o.",2002,4.15315558738803,0.0508907362443471,NA,NA,NA,NA,NA
"WK001406","Helpman e.o.",2008,4.16755387053478,0.0652890193910905,NA,NA,NA,NA,NA
"WK001406","Helpman e.o.",2012,4.20051862073439,0.098253769590708,NA,NA,NA,NA,NA
"WK001406","Helpman e.o.",2014,4.21184060376728,0.109575752623595,0.0305605490294274,0.0256421373653388,-0.0112887701440176,0.0830896529564641,-0.0184278165836176
"WK001406","Helpman e.o.",2016,4.22678446295496,0.124519611811271,NA,NA,NA,NA,NA
"WK001406","Helpman e.o.",2018,4.21353171695781,0.111266865814128,0.0288300287138465,0.0146441311483341,-0.0109014926211633,0.0939825331097046,-0.0152883345365942
"WK001406","Helpman e.o.",2020,4.23474310371147,0.132478252567784,0.0272181516285841,0.00912125785185143,-0.012511120389997,0.10513692348846,0.00351303998888535
"WK001406","Helpman e.o.",2022,4.19922946076564,0.0969646096219545,0.0292062798653525,0.00270924500869792,-0.0201553314561401,0.0958825228504164,-0.0106781066463724
"WK001406","Helpman e.o.",2024,4.19581585977524,0.0935510086315546,0.0273220276160747,0.014649322890194,-0.0186396306134923,0.0890643958886517,-0.0188451071498738
"WK001407","Zuidwest",2002,4.16442588513318,0.0621610339894977,NA,NA,NA,NA,NA
"WK001407","Zuidwest",2008,4.19855302666091,0.0962881755172276,NA,NA,NA,NA,NA
"WK001407","Zuidwest",2012,4.2263055358466,0.124040684702917,NA,NA,NA,NA,NA
"WK001407","Zuidwest",2014,4.20667342240138,0.104408571257694,0.0344653002313813,0.0329577281660303,-0.0301775509895294,0.0765898902842756,-0.0094267964344639
"WK001407","Zuidwest",2016,4.24158472436089,0.139319873217205,NA,NA,NA,NA,NA
"WK001407","Zuidwest",2018,4.23433993653495,0.132075085391267,0.0317007126431455,0.0443566868168022,-0.029710995845504,0.088132612979748,-0.00240393120292456
"WK001407","Zuidwest",2020,4.27243462963547,0.170169778491781,0.0316796738414366,0.0659033158345759,-0.029629623560913,0.0993941328122247,0.00282227956445629
"WK001407","Zuidwest",2022,4.2438662552023,0.141601404058619,0.0355088170802953,0.0345214609633624,-0.0193462752968934,0.095516003780294,-0.00459860246843998
"WK001407","Zuidwest",2024,4.2213994187047,0.119134567561015,0.0326309621006767,0.0261200970332969,-0.0178346966152148,0.085351247963513,-0.00713304292125679
"WK001408","Hoogkerk e.o.",2002,4.11370536314138,0.0114405119976906,NA,NA,NA,NA,NA
"WK001408","Hoogkerk e.o.",2008,4.14260902527579,0.0403441741321102,NA,NA,NA,NA,NA
"WK001408","Hoogkerk e.o.",2012,4.17642073415891,0.0741558830152226,NA,NA,NA,NA,NA
"WK001408","Hoogkerk e.o.",2014,4.15252930240447,0.0502644512607809,0.0202467020978704,0.0410253119835729,0.0244078075727179,-0.0412371912212749,0.00582182082789437
"WK001408","Hoogkerk e.o.",2016,4.17173453803205,0.0694696868883695,NA,NA,NA,NA,NA
"WK001408","Hoogkerk e.o.",2018,4.16120110128837,0.058936250144681,0.0275066346448505,0.0354098304047419,0.0244427300617428,-0.0391006855116967,0.0106777405450422
"WK001408","Hoogkerk e.o.",2020,4.18184006257175,0.0795752114280678,0.0207522450545216,0.0298014037031058,0.0253414886825181,-0.0170884141317427,0.0207684881196648
"WK001408","Hoogkerk e.o.",2022,4.20436147690705,0.102096625763366,0.0192135951653896,0.0525511554439154,0.0304787160031178,-0.0248315704667502,0.0246847296176928
"WK001408","Hoogkerk e.o.",2024,4.17435132957948,0.0720864784357974,0.0248786039523702,0.0245034063843139,0.0238153666326755,-0.030140786925688,0.0290298883921255
"WK001409","Nieuw-West",2002,3.92286212754758,-0.17940272359611,NA,NA,NA,NA,NA
"WK001409","Nieuw-West",2008,4.02933834516075,-0.0729265059829342,NA,NA,NA,NA,NA
"WK001409","Nieuw-West",2012,4.0653331773582,-0.0369316737854886,NA,NA,NA,NA,NA
"WK001409","Nieuw-West",2014,4.04053553645855,-0.0617293146851397,0.0283436598940897,-0.0406909806564412,-0.0308989907952851,0.00542111345489929,-0.0239041165824026
"WK001409","Nieuw-West",2016,4.04462186746638,-0.0576429836773077,NA,NA,NA,NA,NA
"WK001409","Nieuw-West",2018,4.05348487779029,-0.0487799733533927,0.0332545588271406,-0.0350133417675682,-0.0282493266343655,0.0126219017038255,-0.0313937654824255
"WK001409","Nieuw-West",2020,4.08611195348385,-0.0161528976598305,0.028695517395794,-0.0284694689791144,-0.0213257054822162,0.0203938541450369,-0.0154470947393312
"WK001409","Nieuw-West",2022,4.02272617130387,-0.0795386798398195,0.0292309218220962,-0.0404516215863863,-0.0330529617227717,0.0194769354895637,-0.0547419538423217
"WK001409","Nieuw-West",2024,3.99814240158733,-0.104122449556358,0.0274341887829367,-0.0532601054190587,-0.0270699587016284,0.0155814764372672,-0.0668080506558746
"WK001410","Noordwest",2002,3.96056843758549,-0.141696413558194,NA,NA,NA,NA,NA
"WK001410","Noordwest",2008,3.94791954752574,-0.154345303617947,NA,NA,NA,NA,NA
"WK001410","Noordwest",2012,4.02098453202731,-0.0812803191163717,NA,NA,NA,NA,NA
"WK001410","Noordwest",2014,3.98417980475742,-0.118085046386266,0.0216369449528287,-0.0967830472910165,-0.0693049828125236,0.0781166249446969,-0.0517505861802517
"WK001410","Noordwest",2016,3.98995725096779,-0.112307600175897,NA,NA,NA,NA,NA
"WK001410","Noordwest",2018,4.00262307492604,-0.099641776217641,0.0282479589001821,-0.0817445755083743,-0.0619587374328827,0.0787768644645706,-0.062963286641137
"WK001410","Noordwest",2020,4.04088215447485,-0.0613826966688313,0.0215846030450956,-0.0763928704900126,-0.0598217711747902,0.093674071016768,-0.0404267290658923
"WK001410","Noordwest",2022,4.00786683787549,-0.0943980132681983,0.0194351481396505,-0.0890697948493622,-0.0545312205294411,0.0860137275033922,-0.0562458735324379
"WK001410","Noordwest",2024,3.96119271319369,-0.141072137949996,0.015152572142933,-0.10106101259122,-0.0573872617324594,0.0809126067187737,-0.0786890424880232
"WK001411","Noordoost",2002,3.8890829491062,-0.213181902037487,NA,NA,NA,NA,NA
"WK001411","Noordoost",2008,3.95011935197146,-0.152145499172223,NA,NA,NA,NA,NA
"WK001411","Noordoost",2012,3.98520063964357,-0.117064211500114,NA,NA,NA,NA,NA
"WK001411","Noordoost",2014,4.00947296942985,-0.0927918817138383,0.0343203416699255,-0.0706877889994752,-0.0148975769252861,-0.0178911467684271,-0.0236357106905756
"WK001411","Noordoost",2016,4.02846962953822,-0.0737952216054673,NA,NA,NA,NA,NA
"WK001411","Noordoost",2018,4.01046230526849,-0.0918025458751905,0.0285061007641559,-0.0679720635281487,-0.0149101509760084,-0.017252429236818,-0.0201740028983715
"WK001411","Noordoost",2020,4.04316814646937,-0.0590967046743167,0.0215239182581497,-0.049985053763581,-0.0170321313824416,-0.0106995456349494,-0.00290389215149469
"WK001411","Noordoost",2022,3.98161969181515,-0.120645159328539,0.0196506415058256,-0.0816095041480487,-0.0202699728082697,-0.0317027712565562,-0.00671355262149048
"WK001411","Noordoost",2024,3.99104567217563,-0.111219178968052,0.015266100921446,-0.0737431955396392,-0.0149577137877855,-0.0350377011408163,-0.00274666942125739
"WK001412","Noorddijk e.o.",2002,3.98976198877799,-0.112502862365691,NA,NA,NA,NA,NA
"WK001412","Noorddijk e.o.",2008,4.0460752845581,-0.0561895665855846,NA,NA,NA,NA,NA
"WK001412","Noorddijk e.o.",2012,4.0658313147882,-0.0364335363554804,NA,NA,NA,NA,NA
