Format;MediaType;DownloadUrl;AccessUrl;Language
csv;csv;https://datasets.cbs.nl/csv/CBS/nl/86165NED;https://dataportal.cbs.nl/detail/CBS/86165NED;nl
odata;odata;https://datasets.cbs.nl/odata/v1/CBS/86165NED;https://dataportal.cbs.nl/detail/CBS/86165NED;nl
